,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
354,SUMITPOWER,34.4,0.0,34.7,34.2,34.4,34.4,0.0,200,4.92,143146
355,SUNLIFEINS,64.8,-1.22,65.7,63.9,64.8,65.6,-0.8,531,33.38,516485
356,TAKAFULINS,48.0,-0.62,49.3,47.5,47.8,48.1,-0.3,85,1.52,31918
357,TALLUSPIN,10.3,0.0,10.4,10.3,10.3,10.3,0.0,135,1.82,176357
358,TAMIJTEX,189.2,-2.97,196.1,188.2,189.2,195.0,-5.8,272,5.35,28061
359,TITASGAS,41.1,-0.96,41.6,40.9,41.1,41.5,-0.4,993,74.61,1820146
360,TOSRIFA,25.3,-5.24,27.2,24.9,25.3,26.7,-1.4,709,29.04,1110171
361,TRUSTB1MF,5.8,-3.33,6.0,5.8,5.8,6.0,-0.2,134,4.24,718443
362,TRUSTBANK,35.5,0.85,36.0,35.2,35.6,35.3,0.3,69,4.11,116027
363,TUNGHAI,5.8,-4.84,6.2,5.8,5.9,6.2,-0.3,108,1.31,221532
364,UCB,13.2,-0.75,13.5,13.1,13.2,13.3,-0.1,128,2.24,168738
365,UNILEVERCL,2881.8,0.72,2885.0,2870.1,2881.8,2861.1,20.7,91,2.95,1023
366,UNIONBANK,9.3,-1.06,9.5,9.3,9.3,9.4,-0.1,753,13.44,1440313
367,UNIONCAP,8.9,-1.11,9.2,8.7,8.9,9.0,-0.1,315,10.52,1182870
368,UNIONINS,33.4,-2.34,34.5,33.2,33.4,34.2,-0.8,413,5.24,155227
369,UNIQUEHRL,55.9,-3.95,58.2,55.7,55.9,58.2,-2.3,479,22.27,392912
370,UNITEDFIN,16.3,-2.4,16.7,16.2,16.3,16.7,-0.4,88,1.84,112888
371,UNITEDINS,46.5,0.0,47.4,46.5,46.5,46.5,0.0,51,1.81,38957
372,UPGDCL,235.2,-0.72,239.9,233.9,234.9,236.6,-1.7,126,3.06,12993
373,USMANIAGL,74.6,0.0,74.6,74.6,74.6,74.6,0.0,8,0.09,1225
374,UTTARABANK,23.9,-0.83,24.3,23.9,23.9,24.1,-0.2,181,8.81,367701
375,UTTARAFIN,33.8,-2.03,34.8,33.8,33.8,34.5,-0.7,52,1.2,35282
376,VAMLBDMF1,7.4,0.0,7.4,7.3,7.3,7.3,0.0,11,0.18,24951
377,VAMLRBBF,7.4,0.0,7.4,7.4,7.4,7.4,0.0,4,0.02,2000
378,VFSTDL,22.9,-4.58,23.9,22.6,22.9,24.0,-1.1,850,38.45,1650671
